headword,current_center,proposed_extension,recommended_treatment,semantic_relationship,conversational_clarity,hidden_root_integrity,context_reliability,comparative_value,backward_compatibility,audit_status
Kel,"say/talk; name; word","text or connected written words; never data generally",new displayed sense,strong,high,pass,high,high,"preserves all three earlier senses; bound generic information",approved and integrated
Anvekaen,"board or enter transport as a traveler","load cargo into transport",new displayed sense,strong,high,pass,high,high,"all current passenger examples retain boarding",approved and integrated
Thalvekaen,"disembark or leave transport as a traveler","unload cargo from transport",new displayed sense,strong,high,pass,high,high,"all current passenger examples retain disembarking",approved and integrated
Keldoraen,"mark a location with a sign name or warning","write or inscribe visible language on a surface",conditional displayed sense,moderate,high,pass,conditional,potentially high,"all current location-marking examples must remain unchanged",approved and integrated
Njor,"physical bridge or crossing span","bridge between separated groups systems or ideas",conditional displayed sense,strong,high,conditional,high,conditional,"physical examples remain unambiguous; must not absorb Ohm Bel Zhir or Shan",approved and integrated
Sel,"physical clarity purity or absence of grime","mental clarity or unobscured thought",conditional displayed sense,strong,conditional,pass,conditional,conditional,"must not become truth evidence or correctness",approved and integrated
Ruvan,"organic rot in food tissue or once-living material","moral institutional or social corruption as living rot",conditional displayed sense,strong,conditional,pass,high,conditional,"must remain figurative and not become generic failure disorder or evil",approved and integrated
Vekaen,"carry or transport while retaining responsibility","bear responsibility grief memory or burden",usage example,strong,high,pass,high,high,"physical carrying remains primary",usage only
Marin,"branch extension or outward-growing limb","family institutional scholarly or technological branch",usage example,strong,high,pass,high,high,"already covered by extension",usage only
Kes,"notice or register in awareness","check inspect review or examine attentively",usage clarification,strong,high,pass,high,high,"approved examples already use several of these glosses",usage only
Pralaen,"make or create with care","work at craft study repair or constructive task",usage example,moderate,high,pass,high,conditional,"do not turn into fully general work verb",usage only
Aen,"formal or poetic speak tell breathe","report or formally tell what happened",usage example,strong,high,pass,high,high,"existing speech ritual and grammatical uses unchanged",usage only
Krezor,"forge hearth or place of fire","household or community gathered around a hearth",regional or poetic idiom,strong,high,pass,high,conditional,"must not replace Teremil Belvok or Khumlor",idiom only
Khum,"circle listening and reconciliation","shared understanding or common ground",usage example,strong,conditional,pass,high,conditional,"remain outcome of listening not generic comprehension",usage only
Lorpel,"selected target or focus of action","goal or objective",usage example,strong,high,pass,high,high,"current broad target definition already covers abstract focus",usage only
Moraen,"stand or be grounded","stand firm or maintain a principled position",idiom,strong,high,pass,high,high,"literal standing examples remain intact",idiom only
Shenlian,"standard or reference measure","technical civic or behavioral standard",usage example,strong,high,pass,high,high,"keep an explicit reference or comparison",usage only
Trak,"tread step or foot-borne movement","step or stage in a procedure",usage example,moderate,high,pass,high,conditional,"requires an established journey metaphor and direct examples",usage first
Vethvaraen,"purposeful withdrawal from danger or combat","withdraw from negotiation plan commitment or undertaking",usage example,strong,high,pass,high,high,"combat and danger uses remain primary",usage only
Zhir,"lineage thread or connection through time","thread of conversation argument story or inquiry",usage example,strong,high,pass,high,conditional,"do not absorb generic topic story or causal explanation",usage first
Vin,"extract or draw essence from a source","draw meaning material or information from a source",usage example,strong,high,pass,high,conditional,"do not broaden to generic reasoning or deduction",usage only
Wek,"cycle or circularity","routine recurrence or repeated pattern",usage example,strong,high,pass,high,high,"keep the repeated activity explicit",usage only
Kaxaraen,"open uncover or remove closure so access becomes possible","open a meeting route opportunity account or access state",usage example,strong,high,pass,high,high,"access result must remain explicit",usage only
Kalshen,"measured level of ability standing or authority","score rating or assessed standing",usage example,strong,high,pass,high,high,"already within measured-level definition",usage only
Bren,"act or result of gathering food; collected yield","yield or result of cultivation",usage example,strong,high,pass,high,high,"do not generalize to all outcomes",usage only
Arshor,"enveloping presence","atmospheric blanket or mood enveloping a place",usage example,moderate,high,pass,high,conditional,"do not become generic emotion",usage only
Nol,"smell or olfactory perception","detect danger or change by scent; intuitive scent metaphor",idiom,moderate,conditional,pass,conditional,conditional,"literal smell stays primary",idiom only
Jek,"spiral twist or swirling form","twist in story plan or situation",idiom,moderate,conditional,pass,high,conditional,"do not become generic complication",idiom only
Zhel,"spark energy or quick power-flash","spark of insight initiative or inspiration",idiom,strong,high,pass,high,conditional,"Lianor remains idea or thought",idiom only
Dor,"put or place at a location","appoint or assign a person to office",distinct compound,weak,conditional,pass,conditional,low,"physical placement lacks authority consent and institutional meaning",do not extend
Xarzhir,"filtering screen or lattice","electronic information display",existing word or distinct compound,moderate,conditional,pass,conditional,low,"Kelpral already holds or displays information",do not extend now
Belshan/Selshan,"mechanical valve; physical-material filter","social legal cognitive or software gate/filter",distinct compound,moderate,conditional,pass,conditional,low,"explicit approved physical boundaries must remain",do not extend
Shalshan,"window admitting light or sight","opportunity or interval of time",distinct construction,weak,conditional,pass,conditional,low,"English metaphor alone is not Celan evidence; use Nor",do not extend
Sov,"bounded cultivated field or plot","field of study or professional domain",distinct compound,weak,conditional,pass,conditional,low,"cultural metaphor not yet established",do not extend
Tham,"physical mashing softening or breaking down","analyze or decompose argument system or data",distinct compound,weak,conditional,pass,conditional,low,"physical and analytical operations are not automatically identical",do not extend
Pelaen,"cut or slice with precise dividing action","interrupt speech cut contact or terminate a system",distinct construction,moderate,conditional,pass,conditional,low,"use conversational interruption or technical closure language",do not extend
Korin,"hand","helper worker or assistance",distinct headword or construction,weak,conditional,pass,conditional,low,"would import an English body-part metonymy and blur roles",do not extend
Mahrkal,"deep-water pressure","social or emotional pressure",distinct compound,weak,conditional,pass,conditional,low,"derive from obligation force or influence if recurrent",do not extend
Varthas,"city or town","city government or city population",syntactic metonymy,moderate,high,pass,high,low,"Lorbel remains government; place-for-institution needs no sense row",usage only
Lian,"truth honesty prayer and ability","evidence or proof",protected rejection,weak,low,pass,low,low,"truth is not evidence; law science and disagreement need the distinction",reject
Mbalan,"person relied upon as community pillar","literal architectural pillar",protected rejection,strong,high,fail,high,low,"ED-0015 assigns the literal structure to Mbalanmor",reject
