expression_id,celan_expression,pronunciation,natural_meaning,literal_meaning,expression_type,register,origin_nation,social_context,tone_or_risk,source_entry_ids,dictionary_headwords,canon_status,review_status,review_reason,approval_batch,notes
EX-LC1A-0001,Kel La ser mura.,/kehl lah sehr moo-rah/,To speak evasively or use many words without giving a usable answer.,They speak with smoke.,Idiom,"Elevated; literary; ceremonial",,"Public rhetoric; serious counsel; private confrontation",Can accuse a speaker of deliberate evasion.,,"Kel; La; Ser; Mura",Canon,Approved,,Living Celan 1A,Approved expression; creates no new dictionary headword.
EX-LC1A-0002,Vekaen La dren kaveth.,/veh-kah-ehn lah dren kah-vehth/,To revive an old grievance or keep carrying an emotional burden after its cause has passed.,They carry old water.,Idiom,"Elevated; literary; ceremonial",,"Serious counsel; reconciliation; remembered disputes",Criticizes continued carrying rather than memory itself.,,"Vekaen; La; Dren; Kaveth",Canon,Approved,,Living Celan 1A,Approved expression; creates no new dictionary headword.
EX-LC1A-0003,Shen La mura.,/shehn lah moo-rah/,To spend precision or argument on something too insubstantial to support it.,They measure smoke.,Idiom,"Elevated; literary; ceremonial",,"Public debate; technical criticism; serious counsel",Criticizes false precision rather than careful measurement.,,"Shen; La; Mura",Canon,Approved,,Living Celan 1A,Approved expression; creates no new dictionary headword.
EX-LC1A-0004,Dor La morl an shara.,/dohr lah mohrl ahn shah-rah/,To create a deliberate and avoidable obstruction.,They put a stone on the path.,Idiom,"Elevated; literary; ceremonial",,"Public rhetoric; institutional criticism; serious counsel",Implies that the obstruction was chosen.,,"Dor; La; Morl; Shara",Canon,Approved,,Living Celan 1A,Approved expression; creates no new dictionary headword.
EX-LC1A-0005,Rav La zhir.,/rahv lah zheer/,To pursue a cause or hidden connection until more becomes visible.,They pull the thread.,Idiom,"Elevated; literary; ceremonial",,"Investigation; testimony; serious inquiry",Can invite continued inquiry without claiming the conclusion is known.,,"Rav; La; Zhir",Canon,Approved,,Living Celan 1A,Approved expression; creates no new dictionary headword.
EX-LC1A-0006,Kes La veth.,/kehs lah vehth/,To suspect an unstated factor without yet claiming proof.,They notice a shadow.,Idiom,"Elevated; literary; ceremonial",,"Investigation; guarded conversation; warning",Suspicion is not proof of deception or guilt.,,"Kes; La; Veth",Canon,Approved,,Living Celan 1A,Approved expression; creates no new dictionary headword.
EX-LC1A-0007,Tal La krez an mura.,/tahl lah krehz ahn moo-rah/,To intensify a rumor panic or weak claim by reacting dramatically to it.,They give fire to smoke.,Idiom,"Elevated; literary; ceremonial",,"Public rhetoric; rumor control; serious rebuke",Warns against escalation without making fire morally negative.,,"Tal; La; Krez; Mura",Canon,Approved,,Living Celan 1A,Approved expression; creates no new dictionary headword.
EX-LC1A-0008,Bel La veth.,/behl lah vehth/,To attempt to control what is still undefined hidden or unknowable.,They bind a shadow.,Idiom,"Elevated; literary; ceremonial",,"Law; planning; serious counsel",Criticizes premature control rather than all precaution.,,"Bel; La; Veth",Canon,Approved,,Living Celan 1A,Approved expression; creates no new dictionary headword.
EX-LC1A-0009,Rinaen krez ka phel.,/ree-nah-ehn krehz kah phehl/,Something is intense or impressive but offers no care usefulness or sustaining value.,The fire exists without warmth.,Idiom,"Elevated; literary; ceremonial",,"Leadership; spectacle; public criticism",Can criticize force without calling intensity itself evil.,,"Rinaen; Krez; Ka; Phel",Canon,Approved,,Living Celan 1A,Approved expression; creates no new dictionary headword.
EX-LC1A-0010,Rinaen esh an kel.,/ree-nah-ehn ehsh ahn kehl/,The speech is grand or ambitious but insufficiently grounded.,There is sky in the words.,Idiom,"Elevated; literary; ceremonial",,"Public rhetoric; planning; literary criticism",Can praise ambition in neutral context; criticism depends on missing support.,,"Rinaen; Esh; Kel",Canon,Approved,,Living Celan 1A,Approved expression; creates no new dictionary headword.
EX-LC1A-0011,Rinaen korin an zhir.,/ree-nah-ehn koh-reen ahn zheer/,Someone has active responsibility and is following the matter through time.,A hand is on the thread.,Idiom,"Elevated; professional",,"Task ownership; investigation; reassurance",Signals responsibility without promising success.,,"Rinaen; Korin; Zhir",Canon,Approved,,Living Celan 1A,Approved expression; creates no new dictionary headword.
EX-LC1A-0012,Ver var dren.,/vehr vahr dren/,The conversation process negotiation or relationship is stalled.,The water does not move.,Idiom,"Elevated; literary; ceremonial",,"Mediation; repair; public discussion",Describes stalled movement rather than permanent failure.,,"Ver; Var; Dren",Canon,Approved,,Living Celan 1A,Approved expression; creates no new dictionary headword.
EX-LC1B-0001,Ra belnoraen Ilin?,/rah behl-nohr-ah-ehn ee-leen/,Are we understanding the same thing following the same plan or ready together?,Are we synchronized?,Idiom,"Contemporary; neutral",Mechuma,"Systems work; multi-crew coordination; mixed cities",Direct coordination check rather than a demand for agreement.,,"Ra; Belnoraen; Ilin",Canon,Approved,,Living Celan 1B,Origin indicates characteristic development not exclusive use.
EX-LC1B-0002,Rinaen zheldava ka.,/ree-nah-ehn zhehl-dah-vah kah/,I cannot read your intention or the expected confirmation never arrived.,The signal is missing.,Idiom,"Contemporary; casual",,"Communications; dispatch; distant relationships",Can sound like a complaint when aimed at a person.,,"Rinaen; Zheldava; Ka",Canon,Approved,,Living Celan 1B,Approved expression; creates no new dictionary headword.
