concept_field,purpose,core_forms,notes
World and Element,"The physical and symbolic foundations of the world: earth, water, light, fire, mountain, sky, darkness.","Terra; Dren; Shal; Krez; Morl; Esh; Fah","These roots rarely stay purely literal. They often carry emotional, spiritual, or philosophical force."
Truth, Balance, and Order,"The moral and structural field of truth, harmony, reciprocity, woven order, and legitimacy.","Lian; Thal; Bel; Belthal","This field helps explain justice, rightful order, prayer, and the social or cosmic logic of balance."
Time, Memory, and History,"The flow of events, temporal setting, sequence, memory, and the weight of the past.","Nor; Rathor; Nor-ka; Weknor","Celan treats time as a real conceptual force rather than just a grammatical convenience."
Essence, Identity, and Inner Self,"The field of essence, naming, true self, personhood, and inner qualities.","Rin; Rinaen; Kadren; Azan; Thee","This field matters for identity language, naming, personhood, and how the language frames what a being truly is."
Heart, Desire, and Longing,"The emotional and volitional center: heart, yearning, wanting, intimate pull, and emotional drive.","Thar; Thar-ka; Rav-; Ravokhaen; Theraen","Longing in Celan is not one single word. It radiates across desire, will, destiny-pull, and heart-centered yearning."
Action and Movement,"Doing, going, advancing, heading, guiding, carrying, directional motion, and action-first sentence force.","Var; Shara; Lorin; Min; Shalil","This field supports both literal travel and the broader Celan tendency to foreground action before actor."
Creation and Crafting,"Making, shaping, skilled work, detail, woven construction, and imposed structure.","Pral; Pralaen; Bel; -or","Creation in Celan often implies care, purpose, skill, or deliberate ordering rather than generic productivity."
Speech, Breath, and Expression,"Speech, saying, naming, utterance, breath-as-language, and clause framing.","Aen; Kel; Kelrin; Lianor","This field matters because language in Celan is often treated as breath, truth-bearing utterance, or naming of essence."
Relation, Connection, and Belonging,"Accompaniment, empathy, bonding, possession, relational belonging, and social connection.","Ser; Ohm; Vok; Ian; -esh","This field explains why accompaniment, friendship, connection, and possession often overlap conceptually."
Strength, Endurance, and Protection,"Force, power, resilience, stoicism, guarding, shielding, and defended stability.","Kal; Arth; Morl; Serenkal","This field bridges bodily strength, fortification, endurance, and social or martial protection."
Shadow, Mystery, and the Unseen,"Shade, secrecy, hiddenness, sleep, stalking, and what remains unknown or out of sight.","Veth; Vethor","This field covers both literal shadow and broader unseen states such as secrecy, sleep, and mystery."
Grief, Fear, and Adversity,"Dark feeling, void, sadness, misfortune, burden, and emotional hardship.","Fah; Nk-; Nkathal","This field gathers sorrow, fear, darkness, and endurance through hardship."
Peace, Relief, and Safety,"Calm, unity, goodness, relief, and socially or emotionally settled states.","Vaar","A small but powerful field. Peace in Celan often doubles as relief, safety, or moral goodness."
Ritual, Sacred Action, and Ceremony,"Blessing, sacred action, ceremonial language, and archetypal or elevated force.","-eth; Terrashaneth; Shalorveth; Velmarineth","This field touches formal rites, sacred acts, and elevated phrasing shaped by worldview."
Society, Kinship, and Social Role,"Family, guardianship, titles, elders, communal structure, rank, and social belonging.","Velar; Velkavor; Seren; Liorinen; Li-; -en","This field explains how Celan handles family, role, respect, and the architecture of social relation."
Trade, Measure, and Practical Life,"Numbers, exchange, units, tools, objects, food, market life, and applied daily structure.","Tal; Shen; Korin; Ten-; Hek-; Mel-; Fen-","This field matters because practical life in Celan is still concept-rich rather than purely utilitarian."
Cultural Voice,"The national vernacular layer: how one shared language shifts by culture, metaphor, sound, and preference.","Verdalrisian; Pelagaean; Zarithan; Valkeldorian; Mechuman; Nivveilian; Jasaran; Marakorian","Not a concept root in the same way as Thar or Lian, but a canon-level shaping force that affects how phrases are inhabited."
