english_phrase,celan_phrase,literal_sense,function,tone,cultural_voice,notes,source_support,needs_form_review
May peace be on your path.,vael vaar an shara-ya.,May-be Peace at path-your.,Blessing of journey.,Subjunctive / Hopeful,Arvan,,PE-V4-0005,
Let the light guide you.,shal lorin ser.,Light guides with.,Spiritual guidance.,Reverent,Jasaran,,PE-V3-0106,
The heavens light the heart.,dral shal thaar.,The Heavens light the heart.,Invoking cosmic protection.,Prayerful,Arvan,,PE-V3-0081,
I seek peace in the balance of time.,vaar I thal nor.,Peace I from-balance time.,Personal well-wishing.,Philosophical,Nivveilian,,PE-V3-0105,
I feel relief in the light.,vaar'kelaen I an Shal.,Relief-feel I at Light.,Spiritual affirmation.,Peaceful,Verdalrisian,,PE-V3-0069,
Go in strength and balance!,va var kalor thal!,Command go strength-place balance!,Parting blessing.,Empowering,Valkeldorian,,PE-V3-0110,
Where does the friend go?,ra var ser?,Question goes friend?,Seeking direction.,Casual,Zarithan,,PE-V1-0002; PE-V1-0025,
May we now speak truth?,"li-ya, nor aen lian?","Respected-you, now speak truth?",Establishing honesty.,Respectful,Nivveilian,,PE-V3-0004,
Do you speak the price of the food?,ra aen ya belshen velrin?,Question speak you price food?,Commercial inquiry.,Formal,Mechuman,,PE-V2-0047,
Where is the market?,ra var evan emil dren?,Question goes market food water?,Navigation.,Direct,Jasaran,,PE-V3-0142,
Do you worry about the future?,ra rethaen ya nor Varash?,Question worry you at Future?,Emotional inquiry.,Concerned,Pelagaean,,PE-V3-0062,
Is there a hidden enemy?,ra var rathvethor an Verdor?,Question goes hidden-enemy at Forest?,Safety assessment.,Alert,Valkeldorian,Normalized to fused canon form from source example.,PE-V2-0041,
I yearn for the Sanctuary.,Theraen La Shalor.,Yearn-verb I at Light-place.,Expressing deep desire.,Spiritual,Arvan,Aligned to direct canon source wording; English prompt remains a nearby first-person variant.,PE-V3-0053; LX-V3-0090,
I am terrified!,fahaen I ar!,Darkness-verb I intensely!,Extreme fear.,Urgent,Zarithan,,PE-V3-0009,
The elder grieves for history.,nkathalaen velar Rathor.,Sadness-verb elder History.,Expressing grief.,Somber,Marakorian,,PE-V3-0059,
I love freedom.,ohmaen I sharaka.,Connection-verb I freedom.,Stating values.,Affirming,Verdalrisian,,PE-V4-0071,
They despair in the darkness.,vershalaen la nor fah.,No-light-verb they at darkness.,Stating a state of loss.,Melancholy,Nivveilian,,PE-V3-0063,
The heart was saddened.,nkathalaen an thar nor-ka.,Sadness-verb the heart echo-particle.,Passive emotion.,Resigned,Jasaran,Supported by sadness root and emotion usage; exact sentence not found in current canon rows.,RM-V2-0020; PE-V3-0068,
Go to the water!,va var dren!,Command go water!,Direct instruction.,Authoritative,Marakorian,,PE-V1-0027; PE-V3-0006,
I do not go without shoes.,ver var I ka trakor.,No go I without shoes.,Personal limit.,Firm,Verdalrisian,,PE-V4-0045,
"No water, no food.","ka var dren, ka emil.","Without go water, without food.",Expressing scarcity.,Blunt,Zarithan,,PE-V3-0130,
I must go.,var I belshara.,Go I necessity.,Professional requirement.,Disciplined,Mechuman,,PE-V4-0002,
Strength comes from stone.,kal var morl.,Strength goes stone.,Asserting resilience.,Stoic,Valkeldorian,,PE-V3-0085,
"I cannot go, friend.","ver var I dren, li-ser.","No go I water, respected-friend.",Polite refusal.,Respectful,Nivveilian,"Supporting source is fuller: `I cannot go to the water, respected friend.`",PE-V3-0008,
History walks with shadow.,var Rathor ser Vethor.,Goes History with Shadow.,Warning of the past.,Wise,Marakorian,,PE-V3-0070,
Balance light with darkness.,thal Shal ser fah.,Balance Light with darkness.,Philosophy of harmony.,Balanced,Nivveilian,,PE-V3-0073,
The mountain guides the water.,lorin dren morl.,Guides water mountain.,Respecting patterns.,Traditional,Valkeldorian,,PE-V3-0074,
The land itself remembers.,aen Terra thal-ka.,Speaks Earth from-particle.,Honoring the world's truth.,Primordial,Verdalrisian,,PE-V3-0071,
The heart speaks truth.,aen thar lian.,Speaks heart truth.,Moral guidance.,Sincere,Verdalrisian,,PE-V3-0076,
Order guides us.,Lorin belthal Ilin.,Order-fossil us.,Affirming societal law.,Absolute,Mechuman,Aligned to direct canon source wording.,PE-V4-0080; LX-V4-0074,
