entry_id,source_volume,source_section,page_number,topic,culture_or_context,original_wording,canon_status,notes,related_entry_ids,relationship_type,potential_tension_id,review_status,review_reason
CC-V1-0001,Volume 1: Fundamentals,Introduction > The Origins of Celan,2,The Origins of Celan,Ohnosha origin context,"Celan is the universal language of Ohnosha, emerging from the convergence of the world's timelines in the aftermath of Day One—a pivotal event where time and space collided. Established as a common tongue to foster unity and facilitate communication among all nations, Celan embodies both practical functionality and deep-rooted mystical connections to Ohnosha's natural forces. Scholars recognize Celan not only as a means of everyday communication but also as a language imbued with ancient power, essential for understanding the world's history and mystical balance.",Canon,Original wording preserved.,,,,Approved,
CC-V1-0002,Volume 1: Fundamentals,Introduction > Purpose of the Guide,2,Purpose of the Guide,Guide purpose,"This guide aims to provide learners with a foundational understanding of Celan. It covers the language's phonetics, grammar, vocabulary, and usage across various contexts. Whether you are engaging in casual conversation, formal discourse, or scholarly study, this guide will equip you with the necessary tools to master Celan.",Canon,Original wording preserved.,,,,Approved,
CC-V1-0003,Volume 1: Fundamentals,Gendered and Neutral Terms > Introduction,4,Gendered and Neutral Terms,Identity and relational meaning,"Celan is a relational and poetic language that values fluidity, identity, and connection. This manual introduces terms for masculine, feminine, and neutral identities and their applications. These terms expand Celan's expressive capacity while maintaining its ethos of relational meaning.",Canon,Original wording preserved.,,,,Approved,
CC-V1-0004,Volume 1: Fundamentals,Gendered and Neutral Terms > Rules for Usage > 3. Cultural Variations,6,Cultural Variations,Ohnoshan cultural adaptation,"Each Ohnoshan culture may adapt these terms to fit their values:
● Pelagae: Emphasizes fluidity and uses Azon frequently for spiritual men.
● Nivveil: Highlights balance, favoring Thee-based descriptors.
● Valkeldor: Values strength and may use Kadon to honor warrior women.",Canon,Bullet structure preserved in original_wording field.,GR-V1-0010,related usage,,Approved,
CC-V2-0001,Volume 2: Dictionary and Word Formation,Table of Contents: Volume 2 > Volume Description,1,Volume 2 Description,Dictionary and word-building resource,"This volume serves as the primary dictionary and word-building resource for Celan. It details extensive vocabulary lists across various themes, explains how words are formed (plurals, derivations, compounds), provides roots, and includes specific vocabulary for key aspects of Ohnoshan life like food, seasons, and weather. It also incorporates basic quantifiers and interjections.",Canon,Original wording preserved.,,,,Approved,
CC-V2-0002,Volume 2: Dictionary and Word Formation,Vocabulary > Words for Times of Day,7,Words for Times of Day,"Natural rhythms of light, shadow, and time","In Celan, words for times of day are deeply connected to the natural rhythms of light, shadow, and the flow of time. To harmonize with existing vocabulary and draw inspiration from other linguistic traditions, the root words Kinn (daylight) and Kilv (shadow/time) are introduced.",Canon,Original wording preserved.,,,,Approved,
CC-V2-0003,Volume 2: Dictionary and Word Formation,Food Vocabulary > Summary of Reimagined Food Vocabulary,16,Summary of Reimagined Food Vocabulary,Food category summary,"Category / Key Words / Highlights
Staple Foods / Morlak, Velrin, Teravin, Broslak, Pelvar / Simple, earthy foods emphasizing sustenance.
Prepared Dishes / Jorvak, Welrim, Lorlivok, Phelkarin, Xarvel / Robust meals reflecting cultural practices.
Specialty Ingredients / Felorin, Jekvin, Belmor, Xilvar, Vethhar / Unique spices, herbs, and delicacies.
Beverages / Phelvin, Velithor, Tenarorin, Lianfel, Jorvilor / Diverse drinks for comfort, energy, or ritual.",Canon,Source summary table flattened into line-separated rows for CSV.,,,,Approved,
CC-V2-0004,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Mechuma (Varthas Shal-Kaleth),16,Mechuma (Varthas Shal-Kaleth),Food vocabulary by nation,A technologically advanced city blending innovation with tradition.,Canon,Original wording preserved.,,,,Approved,
CC-V2-0005,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Pelagae (Drenor Thal),17,Pelagae (Drenor Thal),Food vocabulary by nation,Island and underwater cities steeped in oceanic resources.,Canon,Original wording preserved.,,,,Approved,
CC-V2-0006,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Verdalris (Lorash Terra-Thar),17,Verdalris (Lorash Terra-Thar),Food vocabulary by nation,"Rooted in nature, emphasizing herbal and hearty dishes.",Canon,Original wording preserved.,,,,Approved,
