unit	stage	id	type	celan	english	source
U01	1	PE-CNE1-0001	Expansion example	dor I drenvor an pralor.	I put the bowl on the table.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0003	Expansion example	vekaen I karvek.	I carry the toolkit.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0005	Expansion example	korinaen I zhirin.	I hold the rope.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0007	Expansion example	aloraen I kareth.	I drop the hammer.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0009	Expansion example	kaxaraen I vorkor.	I open the door.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0011	Expansion example	xaraen I vorkor.	I close the door.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0013	Expansion example	jekaen I drenvor.	I turn the bowl.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0015	Expansion example	sharaen I ser.	I follow the friend.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0017	Expansion example	dar I ser.	I wait for the friend.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0019	Expansion example	siv I pralaen krezor.	I try to make the hearth.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0021	Expansion example	sivathaen I pralaen krezor.	I succeed in making the hearth.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0023	Expansion example	sivrethaen I kaxaraen vorkor.	I fail to open the door.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0025	Expansion example	tharsharaen I dralshara.	I choose the star route.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0027	Expansion example	rinaen dralshara tharshara.	The star route is the choice.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0029	Expansion example	drenvaraen I shara.	I change the path.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0031	Expansion example	kes I eshlor.	I notice the wind bearing.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0033	Expansion example	velzhiraen I dralshara.	I remember the star route.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0035	Expansion example	kavelzhiraen I dralshara.	I forget the star route.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0037	Expansion example	tha-velaen I morlak athnor.	I already ate the bread.	Conversational Narrative Engine 1
U01	1	PE-CNE1-0039	Expansion example	korinaen I zhirin nethnor.	I am still holding the rope.	Conversational Narrative Engine 1
U02	1	PE-V2-0029	Relationship example	Ohmbaen nor dren.	The beloved rests near the water.	Volume 2: Dictionary and Word Formation
U02	1	PE-V2-0030	Relationship example	Tlakorin kal dren an Varthas.	The confidant strengthens the city.	Volume 2: Dictionary and Word Formation
U02	1	PE-V2-0031	Relationship example	Khumlor var dren.	The family gathers by the water.	Volume 2: Dictionary and Word Formation
U02	1	PE-V2-0032	Relationship example	Nkuvath shal dren ser serathrin.	The bond flows to the confidant.	Volume 2: Dictionary and Word Formation
U02	1	PE-V2-0033	Relationship example	Mbalan ser dren an Varthas.	The community leader stands by the water in the city.	Volume 2: Dictionary and Word Formation
U02	1	PE-V2-0034	Relationship example	Nkural nor dren ser Ilan.	The mentor rests by the water with the student.	Volume 2: Dictionary and Word Formation
U02	1	PE-V2-0035	Relationship example	Tlankor kal dren ser Serin.	The ally strengthens by the water with friends.	Volume 2: Dictionary and Word Formation
U02	1	PE-V2-0036	Relationship example	Tlakhura shal dren ser Zhivor.	A bond flows with the family.	Volume 2: Dictionary and Word Formation
U02	1	PE-V3-0030	Kinship example	Tavan shalil nor Felka.	The parent moves lightly with the child.	Volume 3: Culture, Context, and Advanced Expression
U02	1	PE-V3-0031	Kinship example	Felka ser dren an Tavan.	The child is with the parent by the water.	Volume 3: Culture, Context, and Advanced Expression
U02	1	PE-V3-0032	Kinship example	Zhiren vanesh dren.	The sibling trades water.	Volume 3: Culture, Context, and Advanced Expression
