prompt_number,level,english_prompt,target_celan,evaluation_focus
1,Easy,"I go to the water.","Var I dren.","The absolute baseline. Tests whether the builder defaults to strict Verb-Subject-Object structure rather than English Subject-Verb-Object."
2,Easy,"Where does the friend go?","Ra var ser?","Question formation. Tests whether the interrogative particle `Ra` is placed at the very beginning of the sentence."
3,Easy,"I do not go to the water.","Ver var I dren.","Basic negation. Tests whether the negator `Ver` is placed directly before the verb."
4,Easy,"The ancient tree is old.","Rinaen velmarin kaveth.","Stative verbs and adjectives. Tests whether the builder uses `Rinaen` as the stative verb and correctly applies the `-eth` adjectival suffix to `kav`."
5,Easy,"I drink the water at noon.","Tal I dren an Kinnlin.","Spatial vs. temporal phrasing. Tests use of the specific locational or temporal preposition and the compound word `Kinnlin` for noon."
6,Medium,"I will go to the city.","Nor-var I nor Varthas. (or Nor-var I an Varthas.)","Tense prefixes. Tests whether future tense is expressed with the `Nor-` prefix rather than verb conjugation."
7,Medium,"My thought is good.","Rinaen lianor-ian vaareth.","Direct possession. Tests whether personal ownership is marked directly on the noun with `-ian` rather than with a separate English-style possessive word."
8,Medium,"There is bread and water.","Rinaen morlak ser dren.","Polysemy of `Ser`. Tests whether the builder understands that the root for `friend` can also work as the conjunction `and` through the idea of accompaniment."
9,Medium,"We protect the fortress. You must go. (Spoken by a guard to an outsider)","Arth Imen an kaleth. Var Ya.","Clusivity. Tests whether the builder chooses the exclusive pronoun `Imen` rather than communal `Ilin`."
10,Medium,"The rope is 20 handspans long.","Rinaen zhirin Ten-del korineth.","The Ohnoshan numeric system. Tests whether the builder can construct base-10 numbers, translating 20 as `Ten-del`."
11,Complex,"I want to go.","Var I thar-ka.","Modal adverbs. Tests whether desire is expressed with the modal adverb `thar-ka` after the subject rather than through English-style auxiliary structure."
12,Complex,"A tunic was made.","Pralaen an belkor nor-ka.","Passive voice. Tests whether the builder uses the active verb, states the object, and uses the echo particle `nor-ka` rather than English passive conjugation."
13,Complex,"If I were a bird, I would be going to the sky.","Vael rinaen I an eshlin, varal I an esh.","Subjunctive mood and continuous action. Tests hypothetical framing with `Vael` and the continuous `-al` suffix on `var`."
14,Complex,"Mechuma does not honor the truth of the Balance of Terra.","Ver ohmaen Mechuma lian Thal Terra.","Semantic capitalization. Tests whether archetypal and primordial forces like `Terra` are capitalized according to Ohnoshan logic rather than English naming habits."
15,Complex,"If the hidden enemy betrays the truth, our [exclusive] fortress must be protected with strength, or the sanctuary will be destroyed by chaos.","Rath vokaen rathvethor lian, arth an Imen-ka kaleth ser kal belshara nor-ka, reth nor-vokaen an shalor thal rethvok nor-ka.","Stress test for polysemy, clusivity, modality, passive echo, and agentive prepositions. Checks whether the builder correctly uses `Rath` for `if`, `Reth` for `or`, `Imen-ka` for exclusive possession, `belshara` as necessity, and `thal` to mark the agent of passive destruction."
