form,entry_type,expanded_status,source_status,source_entry_type,source_refs,core_meaning,attested_evidence,promotion_reason,canon_confidence,notes
TERRA,root,established_root,explicit_root_in_source_db,Conceptual root / capitalization distinction,RM-S3-0007,The living world; spiritual earth entity,Terra; Terrashaneth; Terradren,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
DREN,root,established_root,explicit_root_in_source_db,Conceptual root,RM-S3-0004,Water; flow; emotion; connection,dren; drenaen; drenvor,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
SHAL,root,established_root,explicit_root_in_source_db,Conceptual root,RM-S3-0001,Light; hope; revelation; forward motion,shal; shalaen; shalor,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
KREZ,root,established_root,explicit_root_in_source_db,Conceptual root,RM-S3-0003,Fire; heat; energy; purification,krez; krezaen; krezor,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
MORL,root,established_root,explicit_root_in_source_db,Conceptual root,RM-S3-0005,Mountain; stone; endurance; the unchanging past,morl; morldren; Morlatharim,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
ESH,root,established_root,explicit_root_in_source_db,Suffix; Conceptual root,RM-V3-0010; RM-S3-0006,Sky; air; mind; abstract thought,esh; eshlin; eshthael,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
FAH,root,established_root,explicit_root_in_source_db,Conceptual root pair,RM-S3-0002,Total darkness; void; fear; misfortune,fah; fahaen; faheth,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
LIAN,root,established_root,explicit_root_in_source_db,Conceptual root,RM-S3-0008,Truth; reality; natural law; genuine quality,lian; lianaen; lianeth,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
THAL,root,established_root,explicit_root_in_source_db,Conceptual root / preposition overlap,RM-S3-0009,Balance; harmony; dynamic equilibrium,thal; thallian; thalvok,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
NOR,root,established_root,explicit_root_in_source_db,Prefix; Conceptual root / prefix / preposition overlap,RM-V1-0005; RM-V2-0036; RM-S3-0011,Time; flow of events; temporality,nor; nor-ka; weknor,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
RIN,root,established_root,explicit_root_in_source_db,Conceptual root,RM-S3-0012,Essence; inner spirit; true self,rin; rinaen; rinvarash,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
BEL,root,established_root,explicit_root_in_source_db,Root; Conceptual root,RM-V2-0003; RM-S3-0013,Binding; weaving; systems; civilization,bel; belshara; belvok,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
OHM,root,established_root,explicit_root_in_source_db,Root; Conceptual root,RM-V2-0024; RM-S3-0016,Connection; empathy; spiritual unity,ohm; Ohmbaen; Ohmakath,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
VOK,root,established_root,explicit_root_in_source_db,Conceptual root / duality,RM-S3-0022,Unity; formal bond; bond-state,vok; vokaen; rethvok,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
SHARA,root,established_root,explicit_root_in_source_db,Conceptual root,RM-S3-0015,Path; journey; life-direction,shara; sharaka; kinnshara,Already formalized as a root in the canon root/morphology database.,high,Canonical conceptual root
MOR,root,promoted_root,canon_lexical_family,lexical evidence,LX-V4-0055; LX-V2-0180; LX-V4-0086,Matter; soil; earthy substance; physical grounding,Moraen; Morthas; Morkal,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from productive lexical family
VETH,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0161; LX-V3-0046; LX-V3-0058; LX-V4-0056,Shade; mystery; hidden or sleeping things,Vethhar; Xarvethral; Belvethral,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from productive lexical family
NETH,root,promoted_root,canon_lexical_family,lexical evidence,LX-V4-0054; LX-V4-0010; LX-V4-0018,Rest; physical stillness; support,Nethaen; Nethor; Nethlor,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from productive lexical family
VAAR,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0037; LX-V4-0028; LX-V4-0073; LX-V2-0221,Peace; calm; relief; safety,Vaar; Vaareth; Vaarlor,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from productive lexical family
TAL,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0061; LX-V2-0134; LX-V3-0088,Exchange; transfer; giving or taking,Tal; Talrin; Talaen,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from productive lexical family
DRAL,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0058; LX-V2-0205; LX-V3-0113,The heavens; wonder; celestial awe,Dral; Dralorim; Dralshaneth,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from productive lexical family
KOR,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0054; LX-V4-0019; LX-V3-0119,Core; source; origin point; grip,Korin; Shalkor; Drenkorath,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from productive lexical family
SHEN,root,promoted_root,canon_lexical_family,lexical evidence,LX-V4-0085; LX-V2-0137; LX-V2-0139,Measure; counted value; assigned worth,Shen; Belshen; Thalaneshen,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from trade and measure family
VANESH,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0138; LX-V2-0139; PE-V2-0050,Commerce; formal trade; merchant work,vanesh; Vaneshem; Thalaneshen,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from market vocabulary
LUN,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0077; LX-V4-0042; LX-V4-0083; LX-LPC1-0001,Lake; moon; reflected light; lunar stillness,Lun; Lunor; Lunwek,"The Lake sense is independently attested and the Moon sense is explicitly named in the source derivation of Lunwek; both are approved as displayed ordinary noun senses.",high,Promoted from lexical family; additive Moon sense approved without replacing Lake.
KAR,root,promoted_root,canon_lexical_family,lexical evidence,LX-V4-0013; LX-V4-0050,Strike; mechanical force; tool-work,Kareth; Karethaen,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from lexical family
VERD,root,promoted_root,canon_lexical_family,lexical evidence,LX-V2-0075; LX-V4-0043,Foliage; forest growth; botanical life,Verdor; Verdeth; Verdalris,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from lexical family
TRAK,root,promoted_root,canon_lexical_family,lexical evidence,LX-V4-0039,Tread; step; foot-borne movement,Trakor,"Not formalized in the root/morphology database, but attested across derived or related lexical families strongly enough to promote.",medium-high,Promoted from lexical family
