lesson_group,lesson_order,unit_title,unit_order,teaching_role,core_rule,why_it_matters,example_1_celan,example_1_english,example_2_celan,example_2_english,related_terms,source_ids
Pronunciation,1,The Core Philosophy of Sound,1,foundation,"Say Celan cleanly and distinctly. The language balances firmness and flow, avoiding swallowed syllables, silent letters, and tonal drift.","This gives the learner the overall sound ethic of the language before individual letters or rules start to matter.","Aen","Pronounce each part clearly: ah-ehn.","Shaleth","Pronounce each syllable distinctly: shah-leth.","Aen; Shaleth; Pelagae","GR-V1-0001; GR-V1-0002; GR-V1-0003"
Pronunciation,1,The Anchor Vowels,2,core system,"The five vowels stay open and clear: A as ah, E as eh, I as ee, O as oh, U as oo.","These are the first sound anchors a new reader needs in order to pronounce most Celan words with confidence.","Azan","A in Azan lands as ah.","Pelagae","Pelagae lets the open vowels ring through each syllable.","Azan; Pelagae","GR-V1-0001"
Pronunciation,1,The Supportive Consonants,3,core system,"Consonants provide structure and grounding. K, T, S, and R appear often and help give Celan its clear, shaped feel.","This helps learners hear why Celan sounds firm without becoming heavy.","Krez","The opening k-r cluster stays crisp and defined.","Ser","The s and final r keep the word light but shaped.","Krez; Ser","GR-V1-0002"
Pronunciation,1,The Rule of Euphony,4,core rule,"When fused roots create a harsh or clumsy consonant cluster, Celan may insert a smoothing vowel, usually a, to keep the word flowing.","This explains why some compounds feel softened, why some stay harsh, and why culture can shape how the same word is spoken.","Morl + Thar -> Morlathar","A harsh cluster is smoothed for easier flow.","Krezthal / Krezathal","The same build may stay harsh or be smoothed depending on voice and style.","Morlathar; Krezathal; Krezthal","GR-S1-0001; GR-S1-0002; GR-S1-0003; GR-S1-0004; GR-S1-0005"
Sentence Shape,2,The Core Idea: Action Comes First,1,foundation,"In Celan, what is happening arrives before who is doing it. The language centers the action itself.","This gives the learner the mental shift they need before reading or building any sentence.","Var I dren.","The action arrives before the actor: I go to the water.","Ohmaen I Ya.","The event is framed before the people inside it: I love you.","Var; Ohmaen","GR-V1-0004; GR-S4A-0001"
Sentence Shape,2,Default Word Order: Verb-Subject-Object,2,core system,"A standard Celan sentence begins with the verb, followed by the subject, and then the object or destination.","This is the baseline sentence skeleton. Many later rules depend on this order feeling natural.","Var I dren.","I go to the water.","Ohmaen I Ya.","I love you.","Var; Ohmaen","GR-V1-0004; GR-S4A-0001"
Sentence Shape,2,Questions and Commands,3,core rule,"Questions place ra at the front of the sentence. Commands place va at the front of the sentence.","These signposts frame the sentence immediately, so the listener knows whether they are hearing a question or an instruction before the action unfolds.","Ra var Ya?","Do you go?","Va var dren!","Go to the water!","Ra; Va; Ver; Var; Ya","GR-V1-0005; GR-V1-0016"
Sentence Shape,2,Negation,4,core rule,"To negate a sentence, place ver directly before the verb. In a negative question, ver sits between ra and the verb.","This shows how Celan handles refusal, absence, and contradiction without changing the overall sentence shape.","Ver var I dren.","I do not go to the water.","Ra ver var ser?","Does the friend not go?","Ver; Ra; Var","GR-V1-0015; GR-V1-0016"
Sentence Shape,2,Conditionals,5,advanced rule,"Use rath to introduce an if-clause. The rest of the sentence then carries the condition through normal Celan structure.","This lets the learner move beyond direct statements into hypothetical, dependent, and contingent thought.","Rath var ser, nor-var I dren.","If the friend goes, I will go to the water.","Rath Ya var dren, nor-var I shena.","If you go to the water, I will bring coinage.","Rath; Nor-; Var; Shena","GR-V1-0017; GR-V3-0005"
Word Building,3,Roots as Seeds,1,foundation,"Celan words often grow from compact roots that carry a core idea. New words are built by extending that root rather than by abandoning it.","This gives the learner the central word-building habit of the language: meaning grows outward from a seed instead of arriving as a random new form.","Krez","Fire / heat.","Dren","Water / flow.","Krez; Dren; Shal; Pral","GR-V2-0002; GR-V2-0003; GR-V4-0001"
Word Building,3,Compounding,2,core system,"To make a new concept, Celan fuses roots together into one word. The primary idea comes first, and the refining idea comes second.","This shows how Celan builds new meanings by combining known parts instead of inventing wholly separate vocabulary for every concept.","Morl + Dren -> Morldren","Mountain + water -> waterfall / mountain stream.","Terra + Esh -> Terraesh","Earth + sky -> horizon / place where earth meets sky.","Morldren; Terraesh; Drenshal","GR-V2-0003"
Word Building,3,Pluralization,3,core rule,"Pluralization is usually simple: add -in after a consonant-final word and -n after a vowel-final word.","This gives the learner one of the most practical formation rules in the language and shows how number is marked without changing the root entirely.","Ser -> Serin","Friend -> friends.","Esh -> Eshin","Sky -> skies.","Serin; Eshin; Drenin","GR-V2-0001"
Word Building,3,Derivation and Word Formation,4,core rule,"Celan uses prefixes and suffixes to shift a root into a new grammatical job or a more specific meaning.","This is how the learner moves from a root to a working verb, place word, descriptive form, or expanded concept.","Dren -> Drenaen","Water -> to drink.","Shal + -or -> Shalor","Light -> sanctuary / light-place.","Drenaen; Shalor; Krezor; -aen; -or","GR-V2-0002"
Word Building,3,The Adjectival Suffix -eth,5,expansion,"The suffix -eth gives a word the sense of having the quality or essence of something. It can also support more elevated or ritualized forms.","This helps the learner see how Celan turns core ideas into descriptive qualities without leaving the original concept behind.","Kal -> Kaleth","Strength -> strong.","Wor -> Woreth","Abundance -> full / abundant.","-eth; Kaleth; Woreth; Shaleth","GR-V4-0001"
Possession and Relation,4,Personal Pronouns,1,foundation,"Celan distinguishes speaker, listener, and others through a compact pronoun system, with singular and plural forms.","This gives the learner the people-markers needed to place action and relation clearly inside a sentence.","Var I dren.","I go to the water.","Ra var Ya?","Do you go?","I; Ya; La; Ilin; Yalin; Lalin","GR-V1-0006"
Possession and Relation,4,Direct Possession,2,core rule,"Basic possession is shown by placing the pronoun before the possessed noun, sometimes with the linking particle -ka where needed.","This gives the learner the simplest way to say my, your, our, and their before moving into deeper relational belonging.","I ka dren","My water.","Ilin-ka emil","Our meal.","I; Ya; Ilin; -ka","GR-V1-0007"
Possession and Relation,4,Relational Possession: Ian and -esh,3,core rule,"Celan distinguishes between direct possession and bonded relation. Ian handles clear personal possession, while -esh marks a deeper connected-to bond.","This matters because the language does not treat ownership and relationship as the same kind of belonging. Use Ian for something directly yours; use -esh when the point is relationship, attachment, or bonded belonging.","Ian Kadron","Direct possession wording: my man.","Kadron-esh","Bonded relation wording: the man connected to me.","Ian; -esh; Kadron; Kalvokesh","GR-V3-0006"
Possession and Relation,4,Core Prepositions,4,core system,"Prepositions do major structural work in Celan. They mark direction, accompaniment, origin, absence, elevation, and position.","This helps the learner understand how relation is built in clauses without depending on heavy case marking.","Var dren","To the water.","Var I ser ser","I go with a friend.","Var; Ser; Thal; Ka; An; Nor; Esh; Morl","GR-V1-0018"
Possession and Relation,4,Space and Time: An and Nor,5,clarifying rule,"An is used for physical location, while Nor is used for time or temporal setting.","This keeps Celan from blurring place and time into one small English-style preposition.","Varan I an Varthas.","I am in the city.","Nor-var I nor Varthas.","I go at the appointed time / in time-setting.","An; Nor; Varthas","GR-V1-0019"
Possession and Relation,4,Case Marking by Order and Particles,6,support rule,"Celan relies mostly on word order and prepositions for clarity, using particles such as -ka as light linking markers rather than building a heavy case system.","This helps the learner understand that relation in Celan is usually shown structurally rather than through dense noun endings.","I ka dren","My water.","Var I ka shal.","I go without light.","-ka; Ka; Var","GR-V1-0020"
Number and Measure,5,Base Numbers and Growth,1,foundation,"Celan builds larger numbers from a compact base set and a small set of scaling prefixes.","This lets the learner see number as a buildable system instead of a long memorized list.","Tenar unar","Eleven / ten plus one.","Hek-quen","Four hundred.","Unar; Del; Tenar; Hek-; Mel-; Fen-","GR-V3-0007"
Number and Measure,5,Additive Number Building,2,core system,"Numbers above the base set are built by placing the larger unit first and then adding the next part after it.","This shows the learner that addition is often built directly into the number phrase itself.","Ten-del peth","Twenty-five / two tens plus five.","Hek-quen Ten-peth","Four hundred fifty.","Ten-; Hek-; Peth; Quen","GR-V3-0007; GR-V3-0008"
Number and Measure,5,Subtraction with Ven,3,core rule,"Subtraction uses Ven between the two number expressions to mark what is being taken away.","This gives the learner the visible signal for mathematical subtraction instead of making them infer it from position alone.","Hek-quen Ven Hek-del","Four hundred minus two hundred.","Tenar unar Ven Del","Eleven minus two.","Ven; Hek-quen; Hek-del; Tenar; Del","GR-V3-0008"
Number and Measure,5,Quantifiers and Articles,4,support rule,"Celan generally relies on context rather than fixed articles like a or the. Quantifiers appear before the noun they modify.","This helps the learner avoid forcing English article habits into Celan while still describing amount or scope when needed.","Melen morlak","Many breads / much bread, depending on context.","Ekor ser","Each friend.","Ilinor; Som; Melen; Felin; Ekor","GR-V2-0004; GR-V2-0005"
Gender, Address, and Social Use,6,Identity as Essence,1,foundation,"Celan often frames identity through essence and embodied quality rather than through rigid fixed labels alone.","This helps the learner understand why identity language in Celan feels fluid, descriptive, and rooted in qualities rather than only categories.","Theon dren kal thal.","The neutral person brings strength and balance.","Azron-Theon.","A woman embodying neutrality and balance.","Kadren; Azan; Thee","GR-V1-0008; GR-V1-0009; GR-V1-0010; GR-V1-0011"
Gender, Address, and Social Use,6,Gendered and Neutral Terms in Use,2,core system,"Gendered and neutral language in Celan is relational, poetic, and context-sensitive. The same term can shift in force depending on use and setting.","This helps the learner avoid reading these terms as rigid biological labels when the language treats them more dynamically.","Theon ian kal nor dren.","My neutral companion flows with the water.","Azon.","A feminine man / a man shaped by feminine qualities.","Theon; Azon; Kadon","GR-V1-0008; GR-V1-0009; GR-V1-0011; GR-V1-0012"
Gender, Address, and Social Use,6,Combining Qualities,3,advanced use,"Celan allows qualities to be combined when a person is being described through more than one essence or social reading.","This gives the learner a way to understand nuance without forcing identity into one narrow slot.","Kadron-Azon","A man carrying both masculine and feminine qualities.","Kadon","A woman carrying fierce or masculine traits.","Kadron; Azon; Kadon","GR-V1-0012; GR-V1-0013"
Gender, Address, and Social Use,6,Politeness and Respect Marking,4,core rule,"Respect is built into the words themselves through honorific particles, titles, and elevated forms rather than left only to tone of voice.","This matters because Celan makes social respect grammatical and visible.","Var I dren, Li-Ser.","I go to the water, respected friend.","Li-Seren-en, var nor Varthas shenakar?","Honored guardian, do we proceed to the city's exchange now?","Li-; -en; Liana; Lianor; Seren; Liorinen","GR-V3-0001"
Gender, Address, and Social Use,6,Cultural Variation in Social Speech,5,advanced use,"Social language shifts by culture, setting, and register. Different nations or contexts prefer different tones, titles, and metaphors.","This helps the learner understand that social meaning in Celan is not one flat universal register.","Aen Ya varash, Ser.","State your destination, Friend.","Var I dren, Li-Ser.","I go to the water, respected friend.","Aen; Kel; Li-Ser; Liorinen","GR-V1-0010; GR-V1-0013; GR-V3-0001"
Writing Conventions,7,Meaning Over Mechanics,1,foundation,"Capitalization in Celan is meaningful, not automatic. It signals weight, reverence, emphasis, or philosophical significance.","This helps the learner stop importing English capitalization habits into Celan writing.","Terra","The living, spiritual world-force.","terra","Physical ground or land.","Terra; terra; Rathor; Dral","GR-S4B-0002; GR-S4B-0003"
Writing Conventions,7,Sentence-Initial Lowercase,2,core rule,"A normal Celan sentence begins with a lowercase word unless that first word is itself a name, title, or concept that truly calls for capitalization.","This gives the learner one of the most visible orthographic differences between Celan and English.","var I an dren.","I go to the water.","ra var Ya?","Do you go?","Var; Ra; I","GR-S4B-0001"
Writing Conventions,7,The Sanctity of I,3,core rule,"The first-person singular pronoun I remains capitalized wherever it appears, even when other nearby words stay lowercase.","This shows that Celan uses visual form to signal the standing of the self without capitalizing everything around it.","var I an dren.","I go to the water.","rinaen I an eshlin.","I am, in essence, a bird.","I; eshlin","GR-S4B-0004"
Writing Conventions,7,Names, Titles, and Archetypal Concepts,4,core rule,"Names, nations, titles, and primordial concepts are capitalized because they name something singular, honored, or archetypal rather than merely ordinary.","This helps the learner see that Celan capitalization follows meaning and status rather than sentence position alone.","Mechuma","A nation name and therefore capitalized.","Velmarin","An honored title and therefore capitalized.","Mechuma; Velmarin; Terra","GR-S4B-0002; GR-S4B-0003"
Writing Conventions,7,Poetic and Emotional Emphasis,5,advanced use,"Celan can capitalize an otherwise normal word in poetry or heightened emotion to elevate it into a force, presence, or overwhelming state.","This gives writers a way to make the page itself carry emotional and philosophical emphasis.","Ohmaen I an thar-ka.","Standard: I love my desire.","Rinaen I an Thar-ka.","Poetic emphasis: I am Desire itself.","Thar-ka; Terra; Rathor","GR-S4B-0005"
Cultural Voice,8,Cultural Voice as a Shaping Force,1,advanced companion,"Celan is one language across Ohnosha, but it is not one single voice. Nations shape it through metaphor, sound preference, pacing, and social texture.","This helps the learner understand variation without mistaking national voice for separate grammar systems.","Krezthal","A harsher, more direct shaping.","Krezathal","A smoothed, more lyrical shaping.","Krezthal; Krezathal; Li-Ser; Vael vaar an shara-ya","GR-S1-0005"
