entry_id,source_volume,source_section,page_number,related_source_volume,related_source_section,issue_type,original_wording,description,canon_status,notes,related_entry_ids,relationship_type,potential_tension_id,review_status,review_reason
PT-V1-0001,Volume 1: Fundamentals,Basic Sentence Structure > Verb-Subject-Object (VSO); Grammar > Prepositions and Case Markers > Basic Prepositions,3; 8,Volume 1: Fundamentals,Grammar > Prepositions and Case Markers > Basic Prepositions,Terminology overlap,"Var (go) – Verb; Var / To, towards / Var dren (to the water)","The form Var appears as a verb glossed “go” in the VSO analysis and as a preposition glossed “To, towards” in the Basic Prepositions table. Both are preserved as separate entries.",Needs Human Review,No resolution applied.,GR-V1-0004; GR-V1-0018; LX-V1-0015; PE-V1-0001; PE-V1-0031; PE-V1-0032; PE-V1-0039; PE-V1-0042,terminology overlap,PT-V1-0001,Needs Human Review,terminology overlap
PT-V1-0002,Volume 1: Fundamentals,Basic Sentence Structure > Forming Questions; Grammar > Prepositions and Case Markers > Basic Prepositions,3; 8,Volume 1: Fundamentals,Grammar > Prepositions and Case Markers > Basic Prepositions,Terminology overlap,"Ra var ser? / ""Where does the friend go?""; Ser / With / Var I ser ser (with a friend)",The form ser appears in examples associated with “friend” and as a preposition glossed “With.” Both are preserved as separate usages.,Needs Human Review,No resolution applied.,GR-V1-0005; GR-V1-0018; LX-V1-0016; PE-V1-0002; PE-V1-0025; PE-V1-0026; PE-V1-0028; PE-V1-0029; PE-V1-0030; PE-V1-0032,terminology overlap,PT-V1-0002,Needs Human Review,terminology overlap
PT-V1-0003,Volume 1: Fundamentals,Pronouns and Person Markers > Possessive Forms; Grammar > Prepositions and Case Markers > Basic Prepositions; Grammar > Prepositions and Case Markers > Case Markers,4; 8; 9,Volume 1: Fundamentals,Grammar > Prepositions and Case Markers > Basic Prepositions; Grammar > Prepositions and Case Markers > Case Markers,Terminology overlap,I ka dren – “My water”; Ka / Without / Var I ka shal.; The -ka particle can act as a possessive/linking marker.,Ka/-ka appears as part of possession/linking and as a preposition glossed “Without.” Both are preserved as separate entries.,Needs Human Review,No resolution applied.,GR-V1-0007; GR-V1-0018; GR-V1-0020; LX-V1-0018; RM-V1-0014; PE-V1-0003; PE-V1-0034; PE-V1-0043,terminology overlap,PT-V1-0003,Needs Human Review,terminology overlap
PT-V1-0004,Volume 1: Fundamentals,Grammar > Tenses and Aspects; Grammar > Prepositions and Case Markers > Basic Prepositions,7; 8,Volume 1: Fundamentals,Grammar > Prepositions and Case Markers > Basic Prepositions,Terminology overlap,Future Tense Nor- (prefix); Nor / At/in (time) / Nor-var I nor Varthas.,Nor appears as a future tense prefix and as a temporal preposition. Both are preserved as separate entries.,Needs Human Review,No resolution applied.,GR-V1-0014; GR-V1-0018; LX-V1-0020; RM-V1-0005; PE-V1-0019; PE-V1-0036; PE-V1-0040,terminology overlap,PT-V1-0004,Needs Human Review,terminology overlap
PT-V2-0014,Volume 2: Dictionary and Word Formation,"Vocabulary > JARGON: (BATTLE, TEMPLE, MARKET) > Temple Jargon",11-13,Volume 2: Dictionary and Word Formation,"Vocabulary > JARGON: (BATTLE, TEMPLE, MARKET) > Temple Jargon",Source ambiguity,Khum (circle/reconciliation) + Eth (sacred act/embrace - assuming ),The source itself marks or implies uncertainty in the derivation for Khumeth. Preserved without resolving.,Needs Human Review,No resolution applied.,LX-V2-0133; PE-V2-0043,source ambiguity,PT-V2-0014,Source Ambiguity,possible derivation uncertainty
PT-V2-0015,Volume 2: Dictionary and Word Formation,"Vocabulary > JARGON: (BATTLE, TEMPLE, MARKET) > Market Jargon",11-13,Volume 2: Dictionary and Word Formation,"Vocabulary > JARGON: (BATTLE, TEMPLE, MARKET) > Market Jargon",Source ambiguity,"Vanesh (trade) + -em (perhaps related to emil food, or a general marker for 'items')",The source itself marks or implies uncertainty in the derivation for Vaneshem. Preserved without resolving.,Needs Human Review,No resolution applied.,LX-V2-0138; PE-V2-0048,source ambiguity,PT-V2-0015,Source Ambiguity,possible derivation uncertainty
PT-V2-0016,Volume 2: Dictionary and Word Formation,"Vocabulary > JARGON: (BATTLE, TEMPLE, MARKET) > Market Jargon",11-13,Volume 2: Dictionary and Word Formation,"Vocabulary > JARGON: (BATTLE, TEMPLE, MARKET) > Market Jargon",Source ambiguity,Thal (balance) + Aen (speak) + Shen(akar) (coinage - shortened) OR Thal + Vanesh + -en (abstract noun?),The source itself marks or implies uncertainty in the derivation for Thalaneshen. Preserved without resolving.,Needs Human Review,No resolution applied.,LX-V2-0139; PE-V2-0049,source ambiguity,PT-V2-0016,Source Ambiguity,possible derivation uncertainty
PT-V2-0017,Volume 2: Dictionary and Word Formation,"Vocabulary > JARGON: (BATTLE, TEMPLE, MARKET) > Market Jargon",11-13,Volume 2: Dictionary and Word Formation,"Vocabulary > JARGON: (BATTLE, TEMPLE, MARKET) > Market Jargon",Source ambiguity,Vel (sustenance/food or wisdom/value?) + Lian (truth/honesty),The source itself marks or implies uncertainty in the derivation for Vellian. Preserved without resolving.,Needs Human Review,No resolution applied.,LX-V2-0141; PE-V2-0051,source ambiguity,PT-V2-0017,Source Ambiguity,possible derivation uncertainty
PT-V2-0021,Volume 2: Dictionary and Word Formation,Nuances of Quantification and Specificity > Quantifiers,22-23,Volume 2: Dictionary and Word Formation,Nuances of Quantification and Specificity > Quantifiers,Source ambiguity,"Ilin (We/Collective) + -or (Place/Domain)? Suggests ""the whole domain of us.""",The source marks the derivation for Ilinor with uncertainty. Preserved without resolving.,Needs Human Review,No resolution applied.,LX-V2-0213,source ambiguity,PT-V2-0021,Source Ambiguity,possible derivation uncertainty
PT-V2-0022,Volume 2: Dictionary and Word Formation,Nuances of Quantification and Specificity > Quantifiers,22-23,Volume 2: Dictionary and Word Formation,Nuances of Quantification and Specificity > Quantifiers,Source ambiguity,"Mel- (Thousand prefix) + -en (Honorific/Collective feel)? Suggests a large, respected number.",The source marks the derivation for Melen with uncertainty. Preserved without resolving.,Needs Human Review,No resolution applied.,LX-V2-0215,source ambiguity,PT-V2-0022,Source Ambiguity,possible derivation uncertainty
PT-V2-0023,Volume 2: Dictionary and Word Formation,Nuances of Quantification and Specificity > Quantifiers,22-23,Volume 2: Dictionary and Word Formation,Nuances of Quantification and Specificity > Quantifiers,Source ambiguity,"Ek (Hypothetical root for ""one/single"" related to numbers?) + Kor (Source/Strength)? ""Each source.""",The source marks the derivation for Ekor with uncertainty. Preserved without resolving.,Needs Human Review,No resolution applied.,LX-V2-0217,source ambiguity,PT-V2-0023,Source Ambiguity,possible derivation uncertainty
PT-V2-0020,Volume 2: Dictionary and Word Formation,Nuances of Quantification and Specificity > Articles (Definite/Indefinite),22,Volume 2: Dictionary and Word Formation,Nuances of Quantification and Specificity > Articles (Definite/Indefinite),Source ambiguity,"specific demonstratives if needed (though none explicitly listed, could be developed)",The source notes possible future demonstratives but none are listed. Preserved without adding or inventing demonstratives.,Needs Human Review,No resolution applied.,GR-V2-0004; CC-V2-0012,source ambiguity,PT-V2-0020,Source Ambiguity,source ambiguity
PT-V2-0024,Volume 2: Dictionary and Word Formation,Interjections and Exclamations,23,Volume 1: Fundamentals,Grammar > Prepositions and Case Markers > Case Markers,Terminology overlap,Lia'ka!: Derivation: Lia (Yes) + -ka (Linking/Emphasis); The -ka particle can act as a possessive/linking marker.,"Volume 2 uses -ka as linking/emphasis in Lia'ka!, while Volume 1 defines -ka as possessive/linking marker. Preserved as related usage without resolution.",Needs Human Review,No resolution applied.,LX-V2-0225; RM-V1-0014,related usage,PT-V2-0024,Needs Human Review,terminology overlap
PT-V2-0001,Volume 2: Dictionary and Word Formation,Vocabulary Categories / Word Formation and Morphology,3-14,Volume 1: Fundamentals; Volume 2: Dictionary and Word Formation,Related prior or same-volume entries,Terminology overlap,Nor,Nor appears as time/flow of time and as future prefix/temporal preposition across Volume 1 and Volume 2.,Needs Human Review,No resolution applied.,LX-V2-0020; RM-V2-0036; RM-V1-0005; PT-V1-0004,terminology overlap,PT-V2-0001,Needs Human Review,terminology overlap
PT-V2-0002,Volume 2: Dictionary and Word Formation,Vocabulary Categories / Word Formation and Morphology,3-14,Volume 1: Fundamentals; Volume 2: Dictionary and Word Formation,Related prior or same-volume entries,Terminology overlap,Var,Var appears as Go/Move in Volume 2 and as verb/preposition overlap in Volume 1.,Needs Human Review,No resolution applied.,LX-V2-0034; LX-V2-0063; PT-V1-0001,terminology overlap,PT-V2-0002,Needs Human Review,terminology overlap
PT-V2-0003,Volume 2: Dictionary and Word Formation,Vocabulary Categories / Word Formation and Morphology,3-14,Volume 1: Fundamentals; Volume 2: Dictionary and Word Formation,Related prior or same-volume entries,Terminology overlap,Ser,Ser appears as Friend/Ally in Volume 2 and as With/preposition in Volume 1.,Needs Human Review,No resolution applied.,LX-V2-0036; LX-V2-0065; PT-V1-0002,terminology overlap,PT-V2-0003,Needs Human Review,terminology overlap
PT-V2-0004,Volume 2: Dictionary and Word Formation,Vocabulary Categories / Word Formation and Morphology,3-14,Volume 1: Fundamentals; Volume 2: Dictionary and Word Formation,Related prior or same-volume entries,Terminology overlap,Thal,Thal appears as Balance/Harmony in Volume 2 and as From/out of preposition in Volume 1.,Needs Human Review,No resolution applied.,LX-V2-0008; LX-V2-0023; LX-V2-0072; LX-V1-0017,terminology overlap,PT-V2-0004,Needs Human Review,terminology overlap
PT-V2-0005,Volume 2: Dictionary and Word Formation,Vocabulary Categories / Word Formation and Morphology,3-14,Volume 1: Fundamentals; Volume 2: Dictionary and Word Formation,Related prior or same-volume entries,Terminology overlap,Shalor,"Shalor appears with Light/New Beginnings/Fate, discovery/hope, and Sanctuary/light-filled place senses in Volume 2.",Needs Human Review,No resolution applied.,LX-V2-0024; LX-V2-0059; LX-V2-0084,terminology overlap,PT-V2-0005,Needs Human Review,contextual meaning overlap
