term,id,status,reason,meaning,triage
Var,LX-V1-0015,Needs Human Review,terminology overlap,"To, towards",Curated display override exists; reconcile source flag with editorial decisions
Ser,LX-V1-0016,Needs Human Review,terminology overlap,With,Curated display override exists; reconcile source flag with editorial decisions
Ka,LX-V1-0018,Needs Human Review,terminology overlap,Without,Reconcile source witness and later editorial decisions; flag alone does not prove an error
Nor,LX-V1-0020,Needs Human Review,terminology overlap,At/in (time),Curated display override exists; reconcile source flag with editorial decisions
Thar,LX-V2-0007,Needs Human Review,contextual meaning overlap,Heart (both literal and symbolic),Curated display override exists; reconcile source flag with editorial decisions
Thal,LX-V2-0008,Needs Human Review,terminology overlap,Balance / Harmony,Curated display override exists; reconcile source flag with editorial decisions
Nor,LX-V2-0020,Needs Human Review,terminology overlap,Time / Flow of Time,Curated display override exists; reconcile source flag with editorial decisions
Rathor,LX-V2-0022,Needs Human Review,contextual meaning overlap,Past / History,Reconcile source witness and later editorial decisions; flag alone does not prove an error
Thal,LX-V2-0023,Needs Human Review,terminology overlap,Balance / Harmony,Curated display override exists; reconcile source flag with editorial decisions
Shalor,LX-V2-0024,Needs Human Review,contextual meaning overlap,Light / New Beginnings / Fate,Reconcile source witness and later editorial decisions; flag alone does not prove an error
Lian,LX-V2-0026,Needs Human Review,contextual meaning overlap,Truth / Honesty,Curated display override exists; reconcile source flag with editorial decisions
Aen,LX-V2-0028,Needs Human Review,contextual meaning overlap,Speak / Tell / Breath of Life,Curated display override exists; reconcile source flag with editorial decisions
Kalor,LX-V2-0032,Needs Human Review,contextual meaning overlap,Strength (of the mind or spirit),Reconcile source witness and later editorial decisions; flag alone does not prove an error
Var,LX-V2-0034,Needs Human Review,terminology overlap,Go / Move (action and empowerment),Curated display override exists; reconcile source flag with editorial decisions
Ser,LX-V2-0036,Needs Human Review,terminology overlap,Friend / Ally,Curated display override exists; reconcile source flag with editorial decisions
Vaar,LX-V2-0037,Needs Human Review,contextual meaning overlap,Peace / Unity,Curated display override exists; reconcile source flag with editorial decisions
Vaar,LX-V2-0041,Needs Human Review,contextual meaning overlap,Peace / Calm,Curated display override exists; reconcile source flag with editorial decisions
Kalor,LX-V2-0042,Needs Human Review,contextual meaning overlap,Courage / Strength of Spirit,Reconcile source witness and later editorial decisions; flag alone does not prove an error
Thar,LX-V2-0057,Needs Human Review,contextual meaning overlap,Heart,Curated display override exists; reconcile source flag with editorial decisions
Shalor,LX-V2-0059,Needs Human Review,contextual meaning overlap,"Light (discovery, vision, hope)",Reconcile source witness and later editorial decisions; flag alone does not prove an error
Aen,LX-V2-0062,Needs Human Review,contextual meaning overlap,Speak / Tell,Curated display override exists; reconcile source flag with editorial decisions
