name,region,creature_type,description,cultural_role,canon_status,root_relation,notes
Harven,Ohnosha Forest,Pack Beast,"Domesticated mountain pack beast; compact and shaggy-furred; used for transport and companionship in rugged terrain.","Trusted travel companion and cargo carrier.",Canon,"No direct Celan root attested","User-defined canon creature."
Zharrel,Ohnosha Forest,Forest Predator,"Stealthy forest pack predator with sleek musculature and bioluminescent speckled fur; hunts through coordinated tactics and silent communication.","Forest hunter and stealth symbol.",Canon,"No direct Celan root attested","User-defined canon creature."
Tharnspinners,Ohnosha Forest,Arachnid,"Small web-weaving arachnids whose patterned silk is culturally revered as a symbol of order and patience.","Symbol of order, patience, and careful making.",Canon,"No direct Celan root attested","User-defined canon creature."
Veilgliders,Ohnosha Forest,Gliding Insectivore,"Nocturnal gliding insectivores with transparent shimmering wings that move silently through the canopy and leave glowing spores behind.","Canopy night-life creature associated with quiet motion.",Canon,"No direct Celan root attested","User-defined canon creature."
Tharokh,Desert,Endurance Mount,"Endurance mount of the desert; slender and long-legged with a water-storing ridge; used by nomads for long-distance travel.","Nomad travel mount and endurance symbol.",Canon,"No direct Celan root attested","User-defined canon creature."
Velshen,Desert,Burrowing Creature,"Armored burrowing moisture-hoarder with spade-like claws; survives by digging deep and conserving water internally.","Desert survival and conservation figure.",Canon,"No direct Celan root attested","User-defined canon creature."
Shavrek,Mountain,Cliff Forager,"Nimble cliff-dwelling forager with powerful hooves and mottled fur.","Mountain forager and cliff adaptation symbol.",Canon,"No direct Celan root attested","User-defined canon creature."
Mossquill,Mountain,Pollinator,"Bee-like mountain pollinator that spreads spores between alpine plants with a soft humming swarm.","Highland pollination and ecological support.",Canon,"No direct Celan root attested","User-defined canon creature."
Rynarth,Mountain,Fox-like Predator,"Clever fox-like predator adapted to rocky and wooded slopes.","Cunning slope hunter.",Canon,"No direct Celan root attested","User-defined canon creature."
Vroshan,Mountain,Scavenger,"Broad-winged high-altitude scavenger whose haunting call echoes across mountain peaks.","Peak scavenger and omen-like presence.",Canon,"No direct Celan root attested","User-defined canon creature."
Brinnek,Grassland,Migratory Grazer,"Long-necked migratory grazer moving in striped herds across the plains.","Grassland herd animal and migration marker.",Canon,"No direct Celan root attested","User-defined canon creature."
Thravic,Grassland,Ambush Predator,"Camouflaged ambush predator that lies hidden in tall grass before striking with precision.","Grassland danger and precision strike symbol.",Canon,"No direct Celan root attested","User-defined canon creature."
Fennlur,Grassland,Pack Runner,"Wind-sensitive pack runner that kicks up dust and storm-signals as it moves.","Movement and storm-sense creature in grassland tradition.",Canon,"No direct Celan root attested","User-defined canon creature."
Vexflit,Grassland,Pollinator Bird,"Colorful pollinator bird with bright tail plumes and a musical call, vital to seed spreading and flowering grasses.","Seed-spreading and flowering-grass support.",Canon,"No direct Celan root attested","User-defined canon creature."
Grivol,Grassland,Burrowing Rodent,"Burrowing rodent and ecosystem engineer that stores seeds, aerates soil, and creates shelter for smaller life.","Landscape shaper and shelter-maker.",Canon,"No direct Celan root attested","User-defined canon creature."
Rethal,Aquatic,River Predator,"Camouflaged river predator with reflective scales, barbels, and a powerful hidden bite.","Waterline predator and concealment symbol.",Canon,"No direct Celan root attested","User-defined canon creature."
Lumora,Aquatic,Schooling Fish,"Glowing schooling fish that form light-clouds underwater at night.","Night-water glow and collective movement.",Canon,"No direct Celan root attested","User-defined canon creature."
Thryssal,Aquatic,Swamp Scavenger,"Algae-cloaked swamp scavenger that helps purify decaying waters.","Wetland purifier and decay-tender.",Canon,"No direct Celan root attested","User-defined canon creature."
Braskal,Aquatic,Coastal Herbivore,"Coral-shelled coastal herbivore that forms symbiotic relationships with reef life.","Reef-linked herbivore and symbiosis figure.",Canon,"No direct Celan root attested","User-defined canon creature."
Selkari,Mythic / Symbolic,Ocean Guardian,"Serpent-like deep-sea guardian, graceful and revered, said to surface during celestial events.","Mythic coastal guardian and sacred ocean figure.",Canon,"No direct Celan root attested","User-defined canon creature."
Zhenlor,Mythic / Rumored,Legendary Figure,"Early or rumored mythical creature or being that sits close to legend rather than confirmed common fauna.","Legendary / uncertain status.",Canon,"No direct Celan root attested","User-defined canon creature."
Zharak,Mythic / Rumored,Legendary Figure,"Early or rumored mythical creature or being that sits close to legend rather than confirmed common fauna.","Legendary / uncertain status.",Canon,"No direct Celan root attested","User-defined canon creature."
Lorynth,Mythic / Rumored,Legendary Figure,"Early or rumored mythical creature or being that sits close to legend rather than confirmed common fauna.","Legendary / uncertain status.",Canon,"No direct Celan root attested","User-defined canon creature."
