entry_id,source_volume,source_section,page_number,root_or_morpheme,type,meaning_or_function,derived_forms,original_wording,canon_status,notes,related_entry_ids,relationship_type,potential_tension_id,review_status,review_reason
RM-V1-0001,Volume 1: Fundamentals,Gendered and Neutral Terms > Core Terms and Their Roots,4,Kadren,Root,"Masculine essence (strength, groundedness).",Kadron (man); Kadfel (boy); Kadon (masculine woman).,"Kadren: Masculine essence (strength, groundedness). Derived words: Kadron (man), Kadfel (boy), Kadon (masculine woman).",Canon,Preserved as standalone root/morpheme because source clearly defines it.,,related usage,,Approved,
RM-V1-0002,Volume 1: Fundamentals,Gendered and Neutral Terms > Core Terms and Their Roots,4,Azan,Root,"Feminine essence (nurturing, fluidity).",Azron (woman); Azfel (girl); Azon (feminine man).,"Azan: Feminine essence (nurturing, fluidity). Derived words: Azron (woman), Azfel (girl), Azon (feminine man).",Canon,Preserved as standalone root/morpheme because source clearly defines it.,,related usage,,Approved,
RM-V1-0003,Volume 1: Fundamentals,Gendered and Neutral Terms > Core Terms and Their Roots,4-5,Thee,Root,"Neutral essence (balance, unity).",Theon (neutral person); Theefel (neutral child).,"Thee: Neutral essence (balance, unity). Derived words: Theon (neutral person), Theefel (neutral child).",Canon,Preserved as standalone root/morpheme because source clearly defines it.,,related usage,,Approved,
RM-V1-0004,Volume 1: Fundamentals,Grammar > Tenses and Aspects,7,Tha-,Prefix,Past Tense,Tha-var I dren.,Past Tense Tha- (prefix) Tha-var I dren. “I went to the water.”,Canon,Preserved as standalone root/morpheme because source clearly defines it.,,related usage,,Approved,
RM-V1-0005,Volume 1: Fundamentals,Grammar > Tenses and Aspects,7,Nor-,Prefix,Future Tense,Nor-var I dren.,Future Tense Nor- (prefix) Nor-var I dren. “I will go to the water.”,Canon,Preserved as standalone root/morpheme because source clearly defines it.,,related usage,PT-V1-0004,Needs Human Review,terminology overlap
RM-V1-0006,Volume 1: Fundamentals,Grammar > Tenses and Aspects,7,-al,Suffix,Continuous,Varal I dren.,Continuous -al (suffix) Varal I dren. “I am going to the water.”,Canon,Preserved as standalone root/morpheme because source clearly defines it.,,related usage,,Approved,
RM-V1-0007,Volume 1: Fundamentals,Grammar > Tenses and Aspects,7,-ath,Suffix,Perfective,Varath I dren.,Perfective -ath (suffix) Varath I dren. “I have gone to the water.”,Canon,Preserved as standalone root/morpheme because source clearly defines it.,,related usage,,Approved,
RM-V1-0008,Volume 1: Fundamentals,Grammar > Tenses and Aspects,7,-as,Suffix,Habitual,Varas I dren.,Habitual -as (suffix) Varas I dren. “I usually go to the water.”,Canon,Preserved as standalone root/morpheme because source clearly defines it.,,related usage,,Approved,
RM-V1-0009,Volume 1: Fundamentals,Grammar > Negation,7,Ver,Particle,Negation before the verb or noun,,Negation is formed by placing Ver before the verb or noun.,Canon,Preserved as standalone root/morpheme because source clearly defines it.,,related usage,,Approved,
RM-V1-0010,Volume 1: Fundamentals,Grammar > Questions and Imperatives,7,Ra,Particle,Questions start with Ra,,Questions: Start with Ra.,Canon,Preserved as standalone root/morpheme because source clearly defines it.,,related usage,,Approved,
RM-V1-0011,Volume 1: Fundamentals,Grammar > Questions and Imperatives,7,Va,Particle,Imperatives (Commands) start with Va,,Imperatives (Commands): Start with Va.,Canon,Preserved as standalone root/morpheme because source clearly defines it.,,related usage,,Approved,
RM-V1-0012,Volume 1: Fundamentals,Grammar > Conditionals,7,Rath,Particle,Conditional “If”,,Conditional “If”: Use Rath to introduce conditions.,Canon,Preserved as standalone root/morpheme because source clearly defines it.,,related usage,,Approved,
RM-V1-0013,Volume 1: Fundamentals,Grammar > Prepositions and Case Markers > Dedicated Spatial Preposition,8,An,Preposition,Spatial contexts (“at/in” location),,"To avoid confusion with temporal usage, An is introduced for spatial contexts (“at/in” location).",Canon,Preserved as standalone root/morpheme because source clearly defines it.,,related usage,,Approved,
RM-V1-0014,Volume 1: Fundamentals,Grammar > Prepositions and Case Markers > Case Markers,9,-ka,Particle,Possessive/linking marker,,The -ka particle can act as a possessive/linking marker.,Canon,Preserved as standalone root/morpheme because source clearly defines it.,,related usage,PT-V1-0003,Needs Human Review,terminology overlap
RM-V2-0001,Volume 2: Dictionary and Word Formation,Vocabulary > Words for Times of Day,7,Kinn,Root,daylight,Kinnshal; Kinnmor; Kinnlin,Root words Kinn (daylight) and Kilv (shadow/time) are introduced.,Canon,Original root/morpheme entry preserved.,,,,Approved,
RM-V2-0002,Volume 2: Dictionary and Word Formation,Vocabulary > Words for Times of Day,7,Kilv,Root,shadow/time,Kilvthal; Kilveth; Kilvfah; Kilvlum,Root words Kinn (daylight) and Kilv (shadow/time) are introduced.,Canon,Original root/morpheme entry preserved.,,,,Approved,
RM-V2-0003,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Bel,Root,"To bind or weave (symbolizing interconnection, fabric, or networks).",Belrin; Belar,"Bel: To bind or weave (symbolizing interconnection, fabric, or networks).",Canon,Original expanded vocabulary root preserved.,,,,Approved,
RM-V2-0004,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Bros,Root,Layering or stratification (symbolizing levels or textures).,Brosrin,Bros: Layering or stratification (symbolizing levels or textures).,Canon,Original expanded vocabulary root preserved.,,,,Approved,
RM-V2-0005,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Bal,Root,"Growth or sprouting (e.g., plants, development).",Balrin,"Bal: Growth or sprouting (e.g., plants, development).",Canon,Original expanded vocabulary root preserved.,,,,Approved,
RM-V2-0006,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Bren,Root,"Harvest (e.g., the act or result of gathering food).",Brenmor,"Bren: Harvest (e.g., the act or result of gathering food).",Canon,Original expanded vocabulary root preserved.,,,,Approved,
