headword,pronunciation,approval_batch,use_type,root_word,meaning,usage_note,derivation,origin_nation,national_usage,variant_forms,variant_pronunciations,related_words,example_celan,example_translation,source_entry_ids
-aen,/-ah-ehn/,,Suffix,,Verb-forming,,,,,,,Aenaen; Aennoraen; Aenthaelaen; Aivaen; Aloraen; Andavaen; Anshanaen; Anvekaen; Arthkaraen; Aruaen; Arukelaen; Balemilaen; Balpralaen; Belkoraen; Belmekaen; Belnoraen; Belvekaen; Belxaraen; Belzoraen; Dakuaen; Daraen; Davashanaen; Deldavaen; Dorvekaen; Dovaen; Dovkelaen; Dralbelaen; Dralxaraen; Drenaen; Drenpralaen; Drenselaen; Drentalaen; Drenvaraen; Drobalaen; Dumaen; Emilpralaen; Eshdrenaen; Eshkrezaen; Eshvaraen; Fahaen; Fahohmaen; Fahrethaen; Fekaen; Feldrenaen; Felshenaen; Felthamaen; Gavaen; Havaen; Havrathaen; Hiraen; Jekaen; Jekthamaen; Jelaen; Jornakaen; Jorvaraen; Kaarthaen; Kaaruaen; Kabelmekaen; Kakesrinaen; Kalravaen; Karethaen; Karthaelaen; Kasharaen; Kavaen; Kavdavaen; Kavelzhiraen; Kavkrezaen; Kavzhelaen; Kaxaraen; Kaxardavaen; Keldoraen; Kelnemaen; Keltharaen; Kelvorthamaen; Kesbrenaen; Kesdavaen; Keshenaen; Kesrinaen; Kesxaraen; Khosaen; Korinaen; Kormekaen; Krezaen; Krezdrenaen; Leyaen; Leyajoraen; Lianaen; Lianrethaen; Lianthalaen; Livaraen; Lorbelaen; Lorpelaen; Lorvekaen; Mahrshalilaen; Mahrvaraen; Mavbalshanaen; Mbaen; Mekkesaen; Miraen; Moraen; Muraen; Nakaen; Naraen; Ndemaen; Ndemwekaen; Nemaen; Neshbrenaen; Nethaen; Ngarjoraen; Nkathalaen; Nolaen; Noraen; Norpralaen; Norshanaen; Numaen; Ohmaen; Olankrezaen; Pelaen; Pelaivaen; Pelkrezaen; Pelvaraen; Pelvokaen; Pralaen; Rakuaen; Rathaen; Ravohmaen; Ravokhaen; Ravvekaen; Ravwekaen; Rekaivaen; Rethaen; Rethnemaen; Rimaen; Rinbelaen; Rinmekaen; Rivaen; Ruvanaen; Savaen; Seldrenvinaen; Selnemaen; Selpralaen; Selshanaen; Seraen; Shalaen; Shalbalaen; Shalnakaen; Shalrinaen; Shankalaen; Sharaen; Shenkesaen; Shenlianaen; Shentalaen; Shenvarashaen; Sivathaen; Sivrethaen; Sivshenaen; Suvaen; Talemilaen; Talzhaelaen; Teshaen; Thaalaen; Thaelaen; Thaenbelaen; Thaenohmaen; Thaldavaen; Thalkelrethaen; Thalnoraen; Thalshanaen; Thalvekaen; Thalwelvaraen; Thalzhelaen; Tharbelaen; Tharsharaen; Theraen; Tlamoraen; Tovaen; Trakshalilaen; Urenaen; Vaar'kelaen; Vaaranoraen; Vaarshanaen; Varokrakuaen; Varrinmekaen; Vekaen; Vekvaraen; Velaen; Vellivaraen; Velvaraen; Velzhiraen; Verkalkelaen; Vershalaen; Veth'tharaen; Vethnakaen; Vethoraen; Vethshalaen; Vethvaraen; Vialaen; Vindrenaen; Vokaen; Weksharaen; Weksivshenaen; Wekvaraen; Weltalaen; Worshankalaen; Xaraen; Xardavaen; Xarkrezaen; Zeraen; Zevaen; Zhaeaen; Zhaelpralaen; Zhelaen; Zordrenvinaen,,,DM-RM-V2-0034
-al,/-ahl/,,Suffix,,Continuous,Preserved as standalone root/morpheme because source clearly defines it.,,,,,,Noral,,,DM-RM-V1-0006
-as,/-ahs/,,Suffix,,Habitual,Preserved as standalone root/morpheme because source clearly defines it.,,,,,,,,,DM-RM-V1-0008
-ath,/-ahth/,,Suffix,,Perfective,Preserved as standalone root/morpheme because source clearly defines it.,,,,,,Ianath; Keshenath; Lemath; Welrinath,,,DM-RM-V1-0007
-el,/-ehl/,,Suffix,,Beloved bound to them,,,,,,,,,,DM-RM-V3-0012
-en,/-ehn/,,Suffix,,Honorific/Formal-High Respect,,,,,,,Liorin; Melen; Thalaneshen,,,DM-RM-V2-0032; DM-RM-V3-0002; DM-RM-V3-0011
-en,/-ehn/,,Suffix,,Honorific/Respected form,,,,,,,Liorin; Melen; Thalaneshen,,,DM-RM-V2-0032; DM-RM-V3-0002; DM-RM-V3-0011
-en,/-ehn/,,Suffix,,Partner bonded to you,,,,,,,Liorin; Melen; Thalaneshen,,,DM-RM-V2-0032; DM-RM-V3-0002; DM-RM-V3-0011
-esh,/-ehsh/,,Suffix,,deep relational ties,,,,,,,Thalesh,,,DM-RM-V3-0010
-eth,/-ehth/,,Suffix,,Suffix that marks inherent quality or essential manifestation,"Common adjectival examples: Shal -> Shaleth, Wor -> Woreth, Gorm -> Gormeth, Kal -> Kaleth.",,,,,,Shaleth; Gormeth; Woreth; Kaleth,,,DM-RM-V4-0001
