entry_id,source_volume,source_section,page_number,celan_term,english_meaning,category,usage_context,original_wording,canon_status,notes,related_entry_ids,relationship_type,potential_tension_id,review_status,review_reason
LX-V1-0001,Volume 1: Fundamentals,Pronouns and Person Markers > Personal Pronouns,3,I,1st Person Singular,Pronoun,Remains simple and universal.,1st Person Singular I Remains simple and universal.,Canon,Source table row preserved as standalone lexicon entry.,GR-V1-0006,related usage,,Approved,
LX-V1-0002,Volume 1: Fundamentals,Pronouns and Person Markers > Personal Pronouns,4,Ilin,1st Person Plural,Pronoun,"Represents ""we"" as a group bound by common purpose.","1st Person Plural Ilin Represents ""we"" as a group bound by common purpose.",Canon,Source table row preserved as standalone lexicon entry.,GR-V1-0006,related usage,,Approved,
LX-V1-0003,Volume 1: Fundamentals,Pronouns and Person Markers > Personal Pronouns,4,Ya,2nd Person Singular,Pronoun,A straightforward pronoun for “you.”,2nd Person Singular Ya A straightforward pronoun for “you.”,Canon,Source table row preserved as standalone lexicon entry.,GR-V1-0006,related usage,,Approved,
LX-V1-0004,Volume 1: Fundamentals,Pronouns and Person Markers > Personal Pronouns,4,Yalin,2nd Person Plural,Pronoun,"""You all."" Signifies a collective of individuals addressed.","2nd Person Plural Yalin ""You all."" Signifies a collective of individuals addressed.",Canon,Source table row preserved as standalone lexicon entry.,GR-V1-0006,related usage,,Approved,
LX-V1-0005,Volume 1: Fundamentals,Pronouns and Person Markers > Personal Pronouns,4,La,3rd Person Singular,Pronoun,Neutral pronoun meaning “he/she/they.”,3rd Person Singular La Neutral pronoun meaning “he/she/they.”,Canon,Source table row preserved as standalone lexicon entry.,GR-V1-0006,related usage,,Approved,
LX-V1-0006,Volume 1: Fundamentals,Pronouns and Person Markers > Personal Pronouns,4,Lalin,3rd Person Plural,Pronoun,Means “they” (a group not including speaker or addressee).,3rd Person Plural Lalin Means “they” (a group not including speaker or addressee).,Canon,Source table row preserved as standalone lexicon entry.,GR-V1-0006,related usage,,Approved,
LX-V1-0007,Volume 1: Fundamentals,Gendered and Neutral Terms > Basic Vocabulary,5,Kadron,Man (masculine person),Gendered and neutral terms,Default term for men.,Kadron Man (masculine person) Default term for men.,Canon,Source vocabulary table row preserved as standalone lexicon entry.,RM-V1-0001; RM-V1-0002; RM-V1-0003,related usage,,Approved,
LX-V1-0008,Volume 1: Fundamentals,Gendered and Neutral Terms > Basic Vocabulary,5,Azron,Woman (feminine person),Gendered and neutral terms,Default term for women.,Azron Woman (feminine person) Default term for women.,Canon,Source vocabulary table row preserved as standalone lexicon entry.,RM-V1-0001; RM-V1-0002; RM-V1-0003,related usage,,Approved,
LX-V1-0009,Volume 1: Fundamentals,Gendered and Neutral Terms > Basic Vocabulary,5,Theon,Neutral person (non-binary),Gendered and neutral terms,Represents balance or gender neutrality.,Theon Neutral person (non-binary) Represents balance or gender neutrality.,Canon,Source vocabulary table row preserved as standalone lexicon entry.,RM-V1-0001; RM-V1-0002; RM-V1-0003,related usage,,Approved,
LX-V1-0010,Volume 1: Fundamentals,Gendered and Neutral Terms > Basic Vocabulary,5,Kadfel,Boy (young masculine person),Gendered and neutral terms,Refers to a male child.,Kadfel Boy (young masculine person) Refers to a male child.,Canon,Source vocabulary table row preserved as standalone lexicon entry.,RM-V1-0001; RM-V1-0002; RM-V1-0003,related usage,,Approved,
