lesson_order,lesson_group,learning_stage,rule_order,entry_id,source_volume,source_section,page_number,rule_name,category,original_wording,examples,canon_status,notes,related_entry_ids,relationship_type,potential_tension_id,review_status,review_reason
1,Pronunciation,Foundations,1,GR-V1-0001,Volume 1: Fundamentals,Phonetics and Pronunciation > Vowels,2,Vowels,Phonetics,"Celan features long, flowing vowels that symbolize natural forces like water, air, and light. The vowels are pronounced clearly and smoothly to maintain the language's fluidity.","● A: Pronounced as in ""father"" – a smooth loop or crescent shape in writing.
● E: Pronounced as in ""bed"" – a wavy line resembling flowing water.
● I: Pronounced as in ""machine"" – a straight vertical line symbolizing clarity.
● O: Pronounced as in ""go"" – rounded and open.
● U: Pronounced as in ""flu"" – deep and resonant.",Canon,Bullet structure preserved in examples field.,,,,Approved,
1,Pronunciation,Foundations,2,GR-V1-0002,Volume 1: Fundamentals,Phonetics and Pronunciation > Consonants,2,Consonants,Phonetics,"Celan's consonants are sharp and defined, providing structure and grounding to the language.","● K, T, S, R: Frequently used, these consonants add clarity and strength.
● Other consonants follow straightforward pronunciation rules, ensuring accessibility for all speakers.",Canon,Bullet structure preserved in examples field.,,,,Approved,
1,Pronunciation,Foundations,3,GR-V1-0003,Volume 1: Fundamentals,Phonetics and Pronunciation > Pronunciation Rules,3,Pronunciation Rules,Phonetics,"● Emphasis is placed on clarity and flow.
● Each syllable is pronounced distinctly to maintain the language's rhythmic quality.
● No complex tonal variations; pronunciation remains consistent across different contexts.",,Canon,Bullet structure preserved in original_wording field.,,,,Approved,
1,Pronunciation,Core rule,4,GR-S1-0001,Supplement 1: The Rule of Euphony and Historical Variance,Section 5:1: Advanced Phonology - The Rule of Euphony and Historical Variance,1,The Rule of Euphony,Advanced Phonology,"The core principle is to avoid phonetically harsh or dissonant consonant clusters in compound words by inserting a euphonic vowel, typically a, to ensure a smooth, rhythmic flow.",Morl + Thar -> Morlathar; Rath + Thar -> Rathathar; Vok + Thal -> Vokathar,Canon,Original wording preserved. Source uses bold emphasis in examples; emphasis markers removed only where PDF extraction inserted formatting artifacts.,GR-V1-0001; GR-V1-0002; GR-V1-0003; GR-V2-0003; RM-S1-0001,expansion,PT-S1-0003,Needs Human Review,possible overlap with earlier rule
1,Pronunciation,Core rule,5,GR-S1-0002,Supplement 1: The Rule of Euphony and Historical Variance,Tiers of Application > Tier 1: Mandatory Application (Harsh & Dissonant Clusters),1-2,Tier 1: Mandatory Application,Advanced Phonology,"The euphonic vowel is considered mandatory for consonant clusters that are phonetically repetitive, difficult to articulate cleanly, or considered ""ugly"" to the Celan ear.",Rule: Insert a to break up harsh clusters. / Morl + Thar -> Morlathar (Stoicism). / Rath + Thar -> Rathathar (A Hateful Heart). / Vok + Thal -> Vokathar (A Harmonious Union).,Canon,Bullet/list structure preserved in examples field. Vok + Thal example source gives Vokathar while meaning says harmonious union; preserved as source wording.,GR-S1-0001; RM-S1-0001; PE-S1-0001; PE-S1-0002; PE-S1-0003,related usage,PT-S1-0003; PT-S1-0004,Needs Human Review,possible overlap with earlier rule
1,Pronunciation,Variation,6,GR-S1-0003,Supplement 1: The Rule of Euphony and Historical Variance,Tiers of Application > Tier 2: Optional / Stylistic Application (Clunky but Pronounceable Clusters),2,Tier 2: Optional / Stylistic Application,Advanced Phonology / Register,"The absence of the euphonic vowel is the Standard Form (direct, common speech). The presence of the euphonic vowel is the Poetic Form (more melodic, formal, or archaic).",Standard/Marakorian Form: Krezthal. / Poetic/Jasaran Form: Krezathal. / Standard Form: Belshara. / Poetic Form: Belashara.,Canon,Original wording preserved. Examples are compound/form examples rather than full sentences.,GR-S1-0001; RM-S1-0004; PE-S1-0005; PE-S1-0006; PE-S1-0007; PE-S1-0008; CC-S1-0002,related usage,PT-S1-0005,Needs Human Review,contextual meaning overlap
1,Pronunciation,Variation,7,GR-S1-0004,Supplement 1: The Rule of Euphony and Historical Variance,Tiers of Application > Tier 3: Never Applied (Smooth Clusters & Phonetic Fossils),2-3,Tier 3: Never Applied,Advanced Phonology / Historical Variance,"The rule is not applied in two key situations: when the consonant cluster is naturally smooth, or when the word is so ancient and fundamental that its original form is considered sacrosanct.","Smooth Clusters: Kalvok, Kalrath, Rethlian. / Phonetic Fossils: Belthal and Rethvok.",Canon,Original wording preserved.,GR-S1-0001; RM-S1-0003; LX-V3-0049; LX-V4-0060; LX-V3-0019; LX-V4-0003; LX-V4-0074; LX-V4-0075,related usage,PT-S1-0005,Needs Human Review,contextual meaning overlap
2,Sentence Shape,Foundations,1,GR-V1-0004,Volume 1: Fundamentals,Basic Sentence Structure > Verb-Subject-Object (VSO),3,Verb-Subject-Object (VSO),Syntax,"Celan primarily follows a Verb-Subject-Object (VSO) sentence structure, facilitating clear and direct communication.",Var I dren. / “I go to the water.”,Canon,Example also appears in phrases_and_examples.csv.,PE-V1-0001; PE-V1-0020,related usage,,Approved,
2,Sentence Shape,Foundations,2,GR-S4A-0001,Supplement 4A: VSO Cultural Notes,The Heart of Action: How Celan's VSO Structure Reflects Ohnoshan Worldview,text,VSO as Action-First Syntax Philosophy,Syntax / cultural grammar,"For Celan, the universal tongue of Ohnosha, its predominant Verb-Subject-Object (VSO) sentence structure is not an arbitrary choice but a fundamental expression of an action-oriented and relationally-focused worldview.",Var Kadron an morl.; Rinaen Terra vaar.; Ohmaen I Ya.; Seraen I an Nys'aleth.; Rinaen Ohm ser Ilin.,Canon,Supplemental syntax philosophy. Preserves older VSO rule unchanged and adds cultural interpretation.,GR-V1-0004; PE-V1-0001; CC-V4-0008; RM-S3-0018; RM-S3-0023; CC-V1-0003,refinement,PT-S4A-0001,Approved,
2,Sentence Shape,Core grammar,3,GR-V1-0005,Volume 1: Fundamentals,Basic Sentence Structure > Forming Questions,3,Forming Questions,Syntax,"To form questions, place Ra at the beginning of the sentence.","Ra var ser? / ""Where does the friend go?""",Canon,Example also appears in phrases_and_examples.csv.,PE-V1-0002; PE-V1-0028,related usage,,Approved,
